2018-04-21 00:16:07 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 23332 on Area1
2018-04-21 00:16:27 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 23663 on Area1
2018-04-21 00:16:47 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 23996 on Area1
2018-04-21 00:17:07 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 24322 on Area1
2018-04-21 00:17:27 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 24649 on Area1
2018-04-21 00:17:47 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 24975 on Area1
2018-04-21 00:18:07 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 25305 on Area1
2018-04-21 00:18:27 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 25639 on Area1
2018-04-21 00:18:47 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 25967 on Area1
2018-04-21 00:19:07 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 26295 on Area1
2018-04-21 00:19:27 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 26625 on Area1
2018-04-21 00:19:47 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 26950 on Area1
2018-04-21 00:20:07 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 27280 on Area1
2018-04-21 00:20:27 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 27605 on Area1
2018-04-21 00:20:47 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 27929 on Area1
2018-04-21 00:21:07 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 28254 on Area1
2018-04-21 00:21:27 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 28582 on Area1
2018-04-21 00:21:47 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 28905 on Area1
2018-04-21 00:22:07 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 29230 on Area1
2018-04-21 00:22:27 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 29556 on Area1
2018-04-21 00:22:47 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 29881 on Area1
2018-04-21 00:23:07 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 30209 on Area1
2018-04-21 00:23:27 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 30530 on Area1
2018-04-21 00:23:47 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 30859 on Area1
2018-04-21 00:24:07 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 31187 on Area1
2018-04-21 00:24:27 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 31519 on Area1
2018-04-21 00:24:47 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 31847 on Area1
2018-04-21 00:25:07 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 32174 on Area1
2018-04-21 00:25:27 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 32503 on Area1
2018-04-21 00:25:47 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 32833 on Area1
2018-04-21 00:26:07 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 33154 on Area1
2018-04-21 00:26:27 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 33483 on Area1
2018-04-21 00:26:47 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 33815 on Area1
2018-04-21 00:27:07 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 34140 on Area1
2018-04-21 00:27:27 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 34469 on Area1
2018-04-21 00:27:47 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 34797 on Area1
2018-04-21 00:28:07 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 35122 on Area1
2018-04-21 00:28:27 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 35425 on Area1
2018-04-21 00:28:47 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 35706 on Area1
2018-04-21 00:29:07 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 35982 on Area1
2018-04-21 00:29:27 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 36260 on Area1
2018-04-21 00:29:47 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 36538 on Area1
2018-04-21 00:30:07 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 36816 on Area1
2018-04-21 00:30:27 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 37094 on Area1
2018-04-21 00:30:47 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 37372 on Area1
2018-04-21 00:31:07 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 37650 on Area1
2018-04-21 00:31:27 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 37926 on Area1
2018-04-21 00:31:47 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 38205 on Area1
2018-04-21 00:32:07 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 38470 on Area1
2018-04-21 00:32:27 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 38747 on Area1
2018-04-21 00:32:47 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 39024 on Area1
2018-04-21 00:33:07 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 39300 on Area1
2018-04-21 00:33:27 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 39579 on Area1
2018-04-21 00:33:47 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 39858 on Area1
2018-04-21 00:34:07 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 40137 on Area1
2018-04-21 00:34:27 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 40413 on Area1
2018-04-21 00:34:47 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 40693 on Area1
2018-04-21 00:35:07 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 40960 on Area1
2018-04-21 00:35:07 FINE tll.impl.internal.InternalAreaImpl$IterationLogger run -- Last iteration was 40960
